seeded 2 of 6 candidates from sea-ice-candidates.json
shard 0: trial 31/10000, front 1, rejected 17
shard 0: trial 64/10000, front 1, rejected 37
shard 0: trial 97/10000, front 1, rejected 51
shard 0: trial 130/10000, front 1, rejected 66
shard 0: trial 164/10000, front 1, rejected 77
shard 0: trial 197/10000, front 1, rejected 95
shard 0: trial 231/10000, front 1, rejected 112
shard 0: trial 265/10000, front 1, rejected 125
shard 0: trial 299/10000, front 2, rejected 142
shard 0: trial 333/10000, front 2, rejected 154
shard 0: trial 367/10000, front 2, rejected 168
shard 0: trial 400/10000, front 2, rejected 179
shard 0: trial 433/10000, front 2, rejected 192
shard 0: trial 462/10000, front 2, rejected 204
shard 0: trial 495/10000, front 2, rejected 219
shard 0: trial 528/10000, front 2, rejected 236
shard 0: trial 557/10000, front 2, rejected 246
shard 0: trial 590/10000, front 2, rejected 262
shard 0: trial 623/10000, front 2, rejected 275
shard 0: trial 656/10000, front 2, rejected 290
shard 0: trial 689/10000, front 2, rejected 304
shard 0: trial 723/10000, front 2, rejected 323
shard 0: trial 756/10000, front 2, rejected 344
shard 0: trial 789/10000, front 2, rejected 357
shard 0: trial 822/10000, front 2, rejected 372
shard 0: trial 856/10000, front 2, rejected 389
shard 0: trial 890/10000, front 2, rejected 409
shard 0: trial 923/10000, front 2, rejected 425
shard 0: trial 957/10000, front 2, rejected 439
shard 0: trial 991/10000, front 2, rejected 460
shard 0: trial 1025/10000, front 2, rejected 474
shard 0: trial 1058/10000, front 2, rejected 494
shard 0: trial 1092/10000, front 2, rejected 514
shard 0: trial 1125/10000, front 2, rejected 526
shard 0: trial 1159/10000, front 2, rejected 540
shard 0: trial 1193/10000, front 3, rejected 553
shard 0: trial 1226/10000, front 3, rejected 570
shard 0: trial 1260/10000, front 2, rejected 583
shard 0: trial 1294/10000, front 2, rejected 596
shard 0: trial 1328/10000, front 2, rejected 611
shard 0: trial 1362/10000, front 4, rejected 632
shard 0: trial 1396/10000, front 4, rejected 650
shard 0: trial 1429/10000, front 4, rejected 667
shard 0: trial 1462/10000, front 3, rejected 684
shard 0: trial 1496/10000, front 4, rejected 704
shard 0: trial 1529/10000, front 4, rejected 719
shard 0: trial 1563/10000, front 4, rejected 737
shard 0: trial 1597/10000, front 4, rejected 753
shard 0: trial 1630/10000, front 5, rejected 770
shard 0: trial 1663/10000, front 4, rejected 786
shard 0: trial 1697/10000, front 4, rejected 803
shard 0: trial 1730/10000, front 4, rejected 821
shard 0: trial 1763/10000, front 4, rejected 836
shard 0: trial 1796/10000, front 4, rejected 855
shard 0: trial 1829/10000, front 4, rejected 870
shard 0: trial 1863/10000, front 5, rejected 888
shard 0: trial 1896/10000, front 5, rejected 916
shard 0: trial 1930/10000, front 5, rejected 933
shard 0: trial 1964/10000, front 5, rejected 950
shard 0: trial 1998/10000, front 5, rejected 965
shard 0: trial 2031/10000, front 5, rejected 984
shard 0: trial 2065/10000, front 5, rejected 999
shard 0: trial 2098/10000, front 5, rejected 1020
shard 0: trial 2131/10000, front 5, rejected 1039
shard 0: trial 2165/10000, front 6, rejected 1057
shard 0: trial 2198/10000, front 7, rejected 1071
shard 0: trial 2230/10000, front 8, rejected 1083
shard 0: trial 2264/10000, front 7, rejected 1103
shard 0: trial 2297/10000, front 7, rejected 1115
shard 0: trial 2329/10000, front 6, rejected 1126
shard 0: trial 2362/10000, front 6, rejected 1143
shard 0: trial 2395/10000, front 6, rejected 1162
shard 0: trial 2428/10000, front 6, rejected 1178
shard 0: trial 2461/10000, front 6, rejected 1190
shard 0: trial 2495/10000, front 6, rejected 1205
shard 0: trial 2528/10000, front 6, rejected 1218
shard 0: trial 2562/10000, front 6, rejected 1236
shard 0: trial 2595/10000, front 6, rejected 1249
